Date	Threshold
18-Oct-2025	5.00476122362012
19-Oct-2025	4.32839632082971
20-Oct-2025	15.2685509929359
21-Oct-2025	8.73277902569532
22-Oct-2025	28.9158500899209
23-Oct-2025	38.991196160582
24-Oct-2025	3.75461460089404
25-Oct-2025	3.64944382282984
26-Oct-2025	4.66801484480317
27-Oct-2025	0.29723225968578
28-Oct-2025	2.60604770347941
29-Oct-2025	6.77440206635062
30-Oct-2025	2.15687302222482
31-Oct-2025	12.3979985144741
01-Nov-2025	8.98550734638482
02-Nov-2025	25.5512721555574
03-Nov-2025	9.91064594962605
04-Nov-2025	28.4278848307293
05-Nov-2025	17.9321032020865
06-Nov-2025	0.935621010217468
07-Nov-2025	1.63191971568427
08-Nov-2025	4.80738922094436
09-Nov-2025	4.34364763626277
10-Nov-2025	1.64876600703725
